rank,player,real_time,comment,date,category
1,zoast,40:45,timed to 40:45.988 (believed console frame count) using somewes's timing tool and local recording,2022-10-26,Any%
2,OatsNgoats,40:53,㋡,2023-03-06,Any%
3,Behemoth,40:56,If it bleeds we can kill it.,2019-04-07,Any%
4,ShinyZeni,41:07,Missed Lava Spark Short Charge... 66.xx second Ridley. wow.,2022-11-18,Any%
5,ARealCutie,41:17,The Journey Starts Today,2023-01-21,Any%
6,Eddie,41:18,decent first 41,2022-11-13,Any%
7,Overfiendvip,41:32,"try and shoot me, colonel",2019-04-07,Any%
7,LynxXUnlimited,41:32,zeb skip choke :c,2022-10-03,Any%
9,Gebbu,41:47,(◡‿◡✿),2021-12-15,Any%
10,Ruya,41:48,(✿◠‿◠),2022-07-13,Any%
11,Cloud9Mitchell,41:55,Game blessed me tbh ✌,2020-12-15,Any%
12,jay_cee,41:57,chock full of surprises aren't we ridley,2021-11-13,Any%
13,Phuckbutt,41:58,,2022-10-08,Any%
14,Charles,41:59,we can do hard things,2023-04-29,Any%
15,Imyt,42:08,Another one round with no spike suit! 41 soon?,2023-01-05,Any%
16,sloaters27,42:11,keep your faith,2022-08-10,Any%
17,Bdawgbazinga,42:15,not a 41 cuz bad,2023-01-24,Any%
18,kottpower,42:20,Goofy quarter halfie.,2016-06-26,Any%
19,Kipp,42:22,SGL 2021 Any% Tournament Match vs Gebbu,2021-10-30,Any%
19,susreime,42:22,On to the next mission!,2023-02-18,Any%
21,Asfalttisoturi,42:26,Nice,2023-04-09,Any%
22,Zmusic,42:28,,2019-08-28,Any%
23,Twocat,42:29,choke artist,2016-03-02,Any%
24,Drewski,42:35,41 soon pls,2023-03-22,Any%
25,unmaker,42:40,,2017-10-20,Any%
26,Osse101,42:52,Thanks Eddie,2022-10-21,Any%
27,StaticNine,42:55,,2018-07-15,Any%
27,fsg,42:55,broken timer strats,2020-08-23,Any%
29,thabanana,42:56,K+,2018-10-17,Any%
29,Krauser318,42:56,Casual 42 ̿̿ ̿̿ ̿̿ ̿'̿'\̵͇̿̿\з= ( ▀ ͜͞ʖ▀) =ε/̵͇̿̿/’̿’̿ ̿ ̿̿ ̿̿,2020-08-22,Any%
31,decalled,42:57,forty two,2021-12-16,Any%
32,eHolden,43:03,so many mistakes but cracked early game,2022-05-03,Any%
33,Jack879,43:13,Cave Bouncer,2019-05-04,Any%
34,Robitalion,43:15,,2019-01-12,Any%
35,JRP,43:19,It sucks,2020-12-23,Any%
36,sweetnumb,43:20,Race PB!  Crazy.,2016-02-20,Any%
37,Just_Defend,43:22,Love and longing,2018-03-20,Any%
38,kishmo,43:28,,2020-09-10,Any%
39,TopsyTurve,43:29,Only a baby skip away.,2021-11-04,Any%
40,Straevaras,43:39,That's no moon(fall)!,2017-10-15,Any%
41,Sforzand0,43:40,Error:  Too much PB,2022-09-23,Any%
42,TrueMoss,43:41,"Did this ages ago, finally posted. Grats to ALL the new 43s :)",2018-09-07,Any%
43,andrew,43:47,,2021-08-16,Any%
43,SpaceJump,43:47,the good ending,2022-07-20,Any%
45,razon2,43:49,:),2023-03-12,Any%
46,Timochun,43:51,clean run,2021-11-06,Any%
47,Smokey,43:56,Improvable.,2016-04-29,Any%
48,poor_little_pinkus,44:00,The Numbers,2019-10-07,Any%
49,Galamoz,44:07,heckin',2020-03-10,Any%
49,noxiousnick,44:07,based gravity time carrying the run,2022-04-26,Any%
51,Static_Shock,44:22,Let's go for low 44,2021-10-27,Any%
52,WildAnaconda69,44:25,Bopped the inspiration,2016-06-25,Any%
53,llmrfox,44:29,,2021-11-22,Any%
54,lvan,44:36,i did it for billie jean,2015-01-31,Any%
55,se3cret,44:41,y vamanaaaash!,2023-02-18,Any%
56,Traviktox,44:49,,2021-05-13,Any%
57,true faith,44:51,irrel degen washed up Super Metroid runner achieves a 44 and moves on to new route,2015-01-31,Any%
58,langen,44:54,bjöck,2021-09-18,Any%
59,Stashiocat,44:55,no u,2022-11-23,Any%
60,Shreddaily,44:59,Right about where it should be.,2020-04-08,Any%
61,DbX,45:13,nid for spid,,Any%
61,mrguyaverage,45:13,whatever,2020-07-27,Any%
63,Gari,45:17,Getting closer,,Any%
64,xopazaru0343,45:22,"small pb,but anyways https://youtu.be/0AR_0SwMWXk",2022-04-24,Any%
